0	The Project Gutenberg EBook of Alice’s Adventures in Wonderland	WORK_OF_ART	0	63
0	Lewis Carroll	PERSON	68	81
1	the United States	GPE	48	65
1	the Project Gutenberg License	LAW	218	247
1	eBook	WORK_OF_ART	267	272
1	the United States	GPE	332	349
2	Alice’s Adventures in Wonderland	WORK_OF_ART	7	39
3	Lewis Carroll	PERSON	8	21
4	June 25, 2008	DATE	14	27
4	11	CARDINAL	36	38
4	October 12, 2020	DATE	64	80
5	English	LANGUAGE	10	17
6	UTF	ORG	24	27
8	Arthur DiBianca	PERSON	12	27
8	David Widger	PERSON	32	44
10	Alice’s Adventures	PERSON	0	18
10	Wonderland	GPE	22	32
11	Lewis Carroll	PERSON	3	16
12	3.0	CARDINAL	31	34
14	A Caucus-Race	WORK_OF_ART	86	99
14	The Rabbit Sends in a Little Bill	WORK_OF_ART	132	165
14	Caterpillar	ORG	196	207
14	Alice	PERSON	445	450
15	the Rabbit-Hole	PERSON	16	31
16	Alice	PERSON	0	5
16	Alice	PERSON	260	265
18	Alice	PERSON	56	61
18	Rabbit	PERSON	113	119
18	Rabbit	PERSON	329	335
18	Alice	PERSON	428	433
19	Alice	PERSON	28	33
20	The rabbit-hole	PERSON	0	15
20	Alice	PERSON	109	114
21	First	ORDINAL	163	168
21	one	CARDINAL	458	461
21	one	CARDINAL	674	677
22	Alice	PERSON	16	21
23	four thousand miles	QUANTITY	210	229
23	Alice	PERSON	261	266
23	Latitude	LOC	564	572
23	Longitude	LOC	576	585
23	Alice	PERSON	601	606
23	Latitude	ORG	624	632
23	Longitude	LOC	641	650
24	The Antipathies	PERSON	167	182
24	Ma’am	PERSON	380	385
24	New Zealand	GPE	395	406
24	Australia	GPE	410	419
25	Alice	PERSON	51	56
25	Dinah	PERSON	84	89
25	Dinah	PERSON	139	144
25	Dinah	PERSON	216	221
25	Alice	PERSON	417	422
25	Dinah	PERSON	779	784
25	Dinah	PERSON	826	831
26	Alice	PERSON	0	5
26	the White Rabbit	PERSON	158	174
26	Alice	PERSON	258	263
26	Rabbit	PERSON	449	455
27	Alice	PERSON	72	77
27	one	CARDINAL	104	107
28	three	CARDINAL	32	37
28	Alice	PERSON	131	136
28	first	ORDINAL	139	144
28	one	CARDINAL	181	184
28	second	ORDINAL	344	350
28	about fifteen inches	QUANTITY	451	471
29	Alice	PERSON	0	5
29	Alice	PERSON	416	421
29	Alice	PERSON	643	648
30	Alice	PERSON	293	298
31	Alice	PERSON	60	65
31	first	ORDINAL	120	125
32	Alice	PERSON	51	56
36	Alice	PERSON	31	36
37	ten inches	QUANTITY	39	49
37	First	ORDINAL	189	194
37	a few minutes	TIME	220	233
37	Alice	PERSON	354	359
38	Alice	PERSON	116	121
38	one	CARDINAL	372	375
39	Alice	PERSON	49	54
39	this minute	TIME	110	121
39	two	CARDINAL	475	478
