0	Wonderland	GPE	54	64
0	Lewis Carroll	PERSON	69	82
1	the United States	GPE	48	65
1	eBook	NORP	267	272
1	the United States	GPE	332	349
2	Wonderland	GPE	29	39
3	Lewis Carroll	PERSON	8	21
4	Release Date	PERSON	0	12
4	June 25, 2008	DATE	14	27
4	#11	CARDINAL	35	38
4	October 12, 2020	DATE	64	80
5	English	LANGUAGE	10	17
8	Arthur DiBianca	ORG	12	27
8	David Widger	PERSON	32	44
10	Wonderland	GPE	22	32
11	Lewis Carroll	PERSON	3	16
12	3.0	CARDINAL	31	34
14	The Pool of Tears	WORK_OF_ART	53	70
14	The Rabbit Sends	PRODUCT	133	149
14	Little Bill	PRODUCT	155	166
14	Caterpillar	ORG	197	208
14	CHAPTER VI	ORG	210	220
14	Pepper	PRODUCT	233	239
14	A Mad Tea-Party	ORG	256	271
14	The Mock Turtle’s Story	WORK_OF_ART	331	354
14	CHAPTER X.     	PERSON	356	371
14	Stole the Tarts	WORK_OF_ART	413	428
16	Alice	ORG	260	265
18	Alice	ORG	56	61
18	Rabbit	PRODUCT	113	119
18	Rabbit	ORG	329	335
18	Alice	PERSON	428	433
19	Alice	PERSON	28	33
20	Alice	PERSON	109	114
21	First	ORDINAL	163	168
22	Alice	PERSON	16	21
23	earth	LOC	177	182
23	four thousand miles	QUANTITY	210	229
23	Alice	PERSON	261	266
23	Alice	PERSON	601	606
23	Longitude	PERSON	641	650
24	earth	LOC	73	78
24	Ma’am	GPE	380	385
24	New Zealand	GPE	395	406
24	Australia	GPE	410	419
25	Alice	PERSON	51	56
25	Dinah	PERSON	139	144
25	Dinah	PERSON	216	221
25	Dinah	PERSON	779	784
25	Now, Dinah	WORK_OF_ART	821	831
26	the White Rabbit	ORG	158	174
26	Alice	PERSON	258	263
26	Rabbit	PERSON	449	455
28	three	CARDINAL	32	37
28	Alice	PERSON	131	136
28	first	ORDINAL	139	144
28	second	ORDINAL	344	350
28	about fifteen inches	QUANTITY	451	471
29	Alice	ORG	0	5
29	Alice	PERSON	416	421
29	Alice	PERSON	643	648
